year,life_expectancy,gdp,relative_health_expenditure,urbanization_rate,daily_caloric_intake,average_working_hours,child_mortality,ww1,ww2,lighting_price
1842,41.0,41400131933,-4.739442123625021,38.57783979189395,2463.477647908377,3018.4804977961685,26.16,0,0,2746.91
1843,41.56,42865516759,-4.710715942078749,38.88125551616508,2466.162310665793,3012.9556175056096,25.83,0,0,2736.07
1844,41.24,46062189337,-4.579479581916934,39.421058730324035,2479.817921469421,3002.659460900748,25.9,0,0,2671.61
1845,42.17,48272726416,-4.394287053926335,40.25284490095993,2500.4679597668846,3015.7740235149213,24.83,0,0,2565.64
1846,40.15,50688216803,-4.235980869767459,40.739642120471785,2517.325380628355,3002.9407052506285,28.14,0,0,2483.91
1847,38.52,49979658649,-4.172548278203368,41.02956712740314,2523.5579831860505,2955.7753138071675,28.16,0,0,2460.01
1848,39.89,51494771221,-4.151103135444294,41.36679775197098,2525.844345101771,2968.141995776343,27.86,0,0,2447.91
1849,37.68,52159100046,-4.184759345487456,41.27684273204693,2520.087134561626,2897.3180645879183,27.99,0,0,2491.87
1850,42.77,51526482583,-3.4101699210412812,45.46,2525.0,2841.167241502484,24.74,0,0,2524.59
1851,40.95,53893993618,-4.0978340033351115,42.16440021989422,2530.1881152543056,2927.829587137843,26.23,0,0,2436.67
1852,40.41,55609306435,-3.7174363282273744,43.51565668391362,2573.1969104556033,2945.824230277678,26.72,0,0,2213.82
1853,39.99,57530243926,-3.2711881662755795,45.09281498612279,2623.6698978652366,2966.240941351978,26.44,0,0,1952.37
1854,39.48,59762057365,-2.823680759262742,46.643233312506766,2674.6290449023145,3005.2116265883196,28.19,0,0,1685.09
1855,40.74,59413095796,-2.5269102729763295,47.91181207884193,2708.9558992783723,3029.1156773051516,26.1,0,0,1503.67
1856,42.47,62294468268,-2.320464517759693,48.862085452630595,2732.2452165571176,3059.6288961850223,24.73,0,0,1381.65
1857,40.92,62632054128,-2.2807934150333855,49.04949343604022,2735.803158831962,3026.418193387177,26.25,0,0,1370.0
1858,39.55,62362011963,-2.305532902478947,49.04835896340711,2732.243149981496,2993.14733853508,28.07,0,0,1394.29
1859,40.41,65041875232,-2.2487483676326363,49.447775810434564,2737.8978385330915,2993.7416457846703,27.39,0,0,1368.47
1860,41.95,66377728439,-2.080325684370318,48.81,2756.8602833458394,3004.7835304577784,24.43,0,0,1270.76
1861,41.62,67645836412,-1.930492856247711,50.919588468766506,2773.481399150745,3005.845506331778,25.85,0,0,1186.43
1862,42.13,66904354989,-1.7524378877367948,51.740624864411075,2794.111806008697,3015.488233594384,25.37,0,0,1077.65
1863,40.37,70495916709,-1.5824996779660756,52.27155471149456,2811.930846755837,3002.1436567095334,27.95,0,0,992.53
1864,39.59,71328030033,-1.482429550876951,52.723823800644595,2822.233132742024,2970.0427721741034,27.18,0,0,946.73
1865,39.75,74757026831,-1.3937030590848938,53.162098782651356,2831.0186591594083,2960.0533237138625,26.69,0,0,907.64
1866,40.09,75614780017,-1.356704762698759,53.48134020048633,2834.852799028949,2956.0282224893126,26.89,0,0,889.82
1867,42.0,76047076772,-1.3535707058338682,53.83255017268067,2835.22963942149,2961.2081873237876,24.84,0,0,887.8
1868,41.7,79037817852,-1.284540803174572,54.16259149611221,2842.06873080987,2958.272013192942,26.29,0,0,856.7
1869,41.34,80780697013,-1.2201874811010551,54.50730339502911,2848.366315865754,2939.1447932558185,26.29,0,0,830.1
1870,40.6,87553220374,-1.0825520126069064,52.16,2857.39908588027,2755.0,26.84,0,0,827.04
1871,41.14,92367328990,-1.0973962370235144,55.087144629241095,2857.9723118960965,2904.628033596913,25.81,0,0,801.27
1872,42.72,92476263104,-1.0309928680585694,55.619070326744065,2865.7506903777835,2915.7306746116337,24.36,0,0,759.55
1873,43.29,92934774295,-0.9463583573033505,56.1254214877132,2875.1218171556084,2912.202139744022,23.54,0,0,712.73
1874,42.11,96998365446,-0.8928501351561344,56.32133339224589,2879.4058756139125,2890.051231583493,25.28,0,0,699.66
1875,41.45,97770597092,-0.8493001643061264,56.59344043496935,2883.4028663036697,2861.408060954531,25.22,0,0,685.56
1876,42.67,98093945020,-0.7854637050376967,57.08669213520517,2890.636984731683,2864.8649701032846,23.86,0,0,648.33
1877,43.69,98937436938,-0.7401613631448987,57.496860177672716,2895.450495992237,2861.580242286429,22.51,0,0,625.46
1878,42.04,99274347875,-0.6910728085344733,57.69685607253962,2900.3160262752767,2838.616316106618,25.16,0,0,605.03
1879,43.51,97298555129,-0.6240028724334694,58.26553354938983,2908.535205798487,2838.93782054288,22.82,0,0,560.68
1880,42.98,104988759770,0.13,55.52,2773.0,2740.0,25.11,0,0,529.71
1881,45.06,107694236471,-0.4907002869487478,59.03817518626988,2920.383405806953,2832.0676523115217,20.98,0,0,513.81
1882,43.99,109563910103,-0.44275184995989925,59.254796077954836,2924.8846310607682,2817.944706242488,23.26,0,0,495.45
1883,44.02,113094732747,-0.36327243185293767,59.65793782371611,2932.344228033679,2797.6248541360983,22.15,0,0,465.32
1884,43.64,111823995228,-0.30678973284891775,60.01392543458627,2938.919369786133,2789.9399576038377,23.32,0,0,431.44
1885,44.57,110492126330,-0.2398661267256177,60.523974623601134,2946.838892391853,2786.963769665348,21.89,0,0,389.93
1886,44.59,110923079821,-0.18142338452597873,60.887360733747755,2953.3453176965436,2788.0713287721446,23.06,0,0,356.77
1887,45.08,115760343251,-0.10369245048797993,61.28948660758459,2960.6422331236877,2785.305365484892,22.71,0,0,325.65
1888,46.28,119893274906,-0.05126477571190691,61.68258549380005,2965.3602900395754,2785.1868548139682,21.29,0,0,306.59
1889,45.93,123775976599,-0.010847207607604048,61.90126893938344,2968.5888900858336,2778.055216737739,22.79,0,0,295.94
1890,44.12,124944698962,0.16,58.87,2974.273637337643,2669.0,23.2,0,0,289.01
1891,44.43,128750368564,0.06288243960359186,62.32718944634672,2974.028163806416,2720.332213341193,23.29,0,0,285.0
1892,45.59,125264607058,0.05227809917656856,62.62942791396807,2973.9520212174098,2723.4940878724155,22.76,0,0,280.89
1893,44.68,123949488176,0.06518727829550564,62.80965857058004,2975.110865248462,2695.621626745484,23.62,0,0,278.7
1894,48.28,130418674603,0.084260054112689,63.243748371498896,2976.238157896719,2730.686179607179,20.73,0,0,274.44
1895,45.41,134634538516,0.14559982595302046,63.3289278901205,2980.7274142679435,2683.2689247620547,23.69,0,0,265.13
1896,47.07,140223054932,0.19002335544061832,63.70313968749633,2984.3889529649286,2694.7752240433038,22.52,0,0,251.03
1897,46.45,141821108963,0.22943478662586614,63.94960946213041,2987.715890268259,2668.028409704453,22.63,0,0,240.99
1898,46.14,149038282848,0.28231266844440217,64.16656371627084,2991.1510064394774,2651.9549478311856,23.12,0,0,235.02
1899,45.25,154848901754,0.3350645598956987,64.3678331286261,2994.5853804260746,2619.2606239360175,23.23,0,0,230.55
1900,45.62,154325196736,0.29,62.22,2992.0341597794018,2656.0,22.55,0,0,236.28
1901,46.93,158356767952,0.35126033237485554,64.8815969407683,2995.06183139285,2605.8165780675627,21.56,0,0,235.32
1902,48.36,160587107729,0.37022749247774733,65.21594006770675,2996.5594902248076,2605.672010774946,19.94,0,0,230.62
1903,49.54,158696991015,0.3750687173675731,65.54629874717278,2997.729691239798,2607.6197304689194,19.12,0,0,222.24
1904,48.15,160929983900,0.4030466226559959,65.67429340892909,2999.4925850801706,2578.338817294076,20.86,0,0,221.33
1905,49.92,166444537144,0.42698458659650296,66.00172425853827,3000.5973833425633,2578.883900770892,18.59,0,0,222.49
1906,49.6,170455212634,0.4523057191399671,66.18181277467818,3001.792856332921,2559.7267624013984,19.01,0,0,224.84
1907,50.57,174467319690,0.4700238784683517,66.44775151264787,3002.3920101484914,2550.531048232613,17.6,0,0,228.57
1908,51.02,167357421574,0.4287012256320599,66.65376150294446,2999.5802964039617,2540.216077141682,17.57,0,0,236.74
1909,51.67,171888090894,0.4581033599558353,66.92472210430128,3001.2283765771326,2526.2286106423526,16.29,0,0,236.57
1910,53.26,176790507600,0.32,65.57,2977.0,2443.6279620152236,15.59,0,0,228.75
1911,51.23,183040847312,0.5353524310730879,67.31724672532567,3006.2923111414757,2512.7565101653418,18.93,0,0,226.36
1912,54.31,186108461428,0.5577862517918,67.79414943600017,3008.2096240926853,2522.6600213467646,14.58,0,0,218.87
1913,53.36,194715605890,0.5464351132736613,63.98824402140008,3007.5482948249355,2656.0,15.79,0,0,207.01
1914,53.21,199290915260,0.6763733147473059,68.25553072071074,3016.680552056864,2481.3526155742366,15.55,0,0,198.92
1915,51.21,212022126008,0.7844508993274091,68.43391729885877,3024.015431161412,2436.8651572833587,16.58,1,0,184.7
1916,54.24,216187856209,0.8234053917526949,68.93195774289183,3027.759007319999,2458.722319393113,13.37,1,0,166.74
1917,54.16,218003751710,0.8275867652818518,69.09803897990378,3027.2760883133883,2441.9810828704503,13.66,1,0,174.69
1918,47.28,222765845576,0.9275672730539606,69.00520703382034,3033.9486294883973,2312.5026248242066,17.11,1,0,170.18
1919,54.31,200732290677,0.7996763027835647,69.68425202856207,3028.4905041794223,2410.3055123285303,13.48,0,0,154.26
1920,57.26,185286377716,0.56,68.92,3027.1513598598567,2397.0092168318442,13.36,0,0,145.75
1921,58.09,166492227012,0.6528915878991306,70.44305961027902,3022.686668045371,2433.8520021144213,11.41,0,0,139.63
