year,life_expectancy,Real GDP (at market prices) (BoE (2017)),Real GDP recent,public_health_expenditure_pc_gdp,health_expenditure_recent,urbanization_rate,daily_caloric_intake,average_working_hours,child_mortality,world_war_1,world_war_2,lighting_price
1842,"40,995",41400131933,,,,,,,"26,157001",0,0,"2746,91"
1843,"41,56",42865516759,,,,,,,"25,826",0,0,"2736,07"
1844,"41,24",46062189337,,,,,,,"25,897",0,0,"2671,61"
1845,"42,17",48272726416,,,,,,,"24,833",0,0,"2565,64"
1846,"40,15",50688216803,,,,,,,"28,144001",0,0,"2483,91"
1847,"38,515",49979658649,,,,,,,"28,161999",0,0,"2460,01"
1848,"39,89",51494771221,,,,,,,"27,855",0,0,"2447,91"
1849,"37,68",52159100046,,,,,,,"27,991001",0,0,"2491,87"
1850,"42,77",51526482583,,,,"45,460327",2525,,"24,74",0,0,"2524,59"
1851,"40,95",53893993618,,,,,,,"26,232",0,0,"2436,67"
1852,"40,41",55609306435,,,,,,,"26,719",0,0,"2213,82"
1853,"39,985",57530243926,,,,,,,"26,439001",0,0,"1952,37"
1854,"39,48",59762057365,,,,,,,"28,185999",0,0,"1685,09"
1855,"40,74",59413095796,,,,,,,"26,102",0,0,"1503,67"
1856,"42,47",62294468268,,,,,,,"24,730999",0,0,"1381,65"
1857,"40,925",62632054128,,,,,,,"26,253",0,0,1370
1858,"39,545",62362011963,,,,,,,"28,066",0,0,"1394,29"
1859,"40,405",65041875232,,,,,,,"27,392002",0,0,"1368,47"
1860,"41,945",66377728439,,,,"48,81239",,,"24,434",0,0,"1270,76"
1861,"41,62",67645836412,,,,,,,"25,85",0,0,"1186,43"
1862,"42,13",66904354989,,,,,,,"25,368",0,0,"1077,65"
1863,"40,37",70495916709,,,,,,,"27,946",0,0,"992,53"
1864,"39,585",71328030033,,,,,,,"27,179998",0,0,"946,73"
1865,"39,75",74757026831,,,,,,,"26,694",0,0,"907,64"
1866,"40,085",75614780017,,,,,,,"26,894001",0,0,"889,82"
1867,"41,995",76047076772,,,,,,,"24,835001",0,0,"887,8"
1868,"41,7",79037817852,,,,,,,"26,291",0,0,"856,7"
1869,"41,34",80780697013,,,,,,,"26,286",0,0,"830,1"
1870,"40,605",87553220374,,,,"52,16445",,2755,"26,838001",0,0,"827,04"
1871,"41,135",92367328990,,,,,,,"25,810001",0,0,"801,27"
